pipeline,BERTScore_f1,PlanningJaccard,PlanningLCS,ROUGE_rougeL,TimeSeriesDTW
pipeline_A,0.999999980131785,1.0,1.0,1.0,1.0
pipeline_B,0.5989804267883301,0.08333333333333333,0.09523809523809523,0.19002819722244182,0.12186379928315412
pipeline_C,0.6134408911069235,0.11666666666666665,0.1369047619047619,0.2217558863900327,0.3669871794871795
