pipeline,AudioSNR,AudioSpectrogramDistance,ImageAverageHash,ImageHistogramMatch,ImageSSIM
pipeline_A,1.0,1.0,1.0,1.0,1.0
pipeline_B,0.24873449901739755,0.2613944907983144,0.6458333333333334,0.6415909661187066,0.27579696145322585
pipeline_C,0.24701741834481558,0.2602175970872243,0.765625,0.528203010559082,0.34748852252960205
